"id","sns_user_id","item_id","total_count","use_count","updated_at","created_at"
"224","15111","31013","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"225","15111","31014","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"226","15111","31015","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"227","15111","31016","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"228","15111","31017","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"229","15111","55555","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"230","15111","55556","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"231","15111","55557","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"352","15395","20007","1","1","2010-07-28 09:14:23.0","2010-07-28 09:14:23.0"
"353","15287","30021","13","1","2010-07-28 09:35:11.0","2010-07-28 09:35:11.0"
