"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"16762","15395","3039","211","0","2010-07-26 21:48:17.0","2010-07-24 05:50:53.0"
"16778","15395","3063","28","0","2010-07-26 21:50:35.0","2010-07-24 05:54:23.0"
"16801","15395","3027","91","0","2010-07-26 22:38:47.0","2010-07-24 05:57:51.0"
"16865","15395","20001","3","0","2010-07-26 22:19:11.0","2010-07-24 09:55:29.0"
"16926","15395","3","12","0","2010-07-30 11:33:55.0","2010-07-24 10:04:47.0"
"16949","15395","2001","57","0","2010-07-28 09:19:01.0","2010-07-24 10:07:04.0"
"16974","15395","3009","25","0","2010-07-25 21:35:08.0","2010-07-24 10:09:58.0"
"17016","15395","20002","2","0","2010-07-25 21:57:55.0","2010-07-24 10:13:39.0"
"17127","15395","2","2","0","2010-07-28 16:06:12.0","2010-07-24 10:32:58.0"
"17171","15395","20003","7","0","2010-07-28 07:35:06.0","2010-07-24 10:34:32.0"
"17400","15287","30000","1","0","2010-07-24 10:54:06.0","2010-07-24 10:54:06.0"
"17401","15287","3039","72","0","2010-07-28 16:45:27.0","2010-07-24 10:59:53.0"
"17413","15287","2000","39","0","2010-07-28 10:15:39.0","2010-07-24 11:07:15.0"
"17425","15287","30001","1","0","2010-07-24 18:05:23.0","2010-07-24 11:10:48.0"
"17451","15287","3027","15","0","2010-07-28 09:59:33.0","2010-07-24 11:17:09.0"
"17458","15287","3063","6","0","2010-07-28 16:47:18.0","2010-07-24 11:18:10.0"
"17503","15287","2","2","0","2010-07-28 09:16:09.0","2010-07-24 11:27:03.0"
"17512","15287","2001","7","0","2010-07-25 09:07:06.0","2010-07-24 11:28:52.0"
"17606","15395","3075","2","0","2010-07-25 10:23:25.0","2010-07-24 13:58:38.0"
"17633","15287","3","17","0","2010-07-30 11:33:55.0","2010-07-24 14:00:01.0"
"17641","15395","1","4","0","2010-07-27 23:51:40.0","2010-07-24 14:00:02.0"
"17990","15395","101","1","0","2010-07-24 14:07:58.0","2010-07-24 14:07:45.0"
"18103","15395","3078","7","0","2010-07-26 21:46:03.0","2010-07-24 14:09:53.0"
"18608","15395","3028","88","0","2010-07-28 13:43:49.0","2010-07-24 16:04:30.0"
"19348","15395","20004","3","0","2010-07-25 21:56:52.0","2010-07-24 16:39:53.0"
"19389","15287","3009","1","0","2010-07-25 09:18:22.0","2010-07-24 16:49:15.0"
"19447","15287","101","2","0","2010-07-24 16:56:29.0","2010-07-24 16:56:13.0"
"19538","15287","100","2","0","2010-07-24 17:21:02.0","2010-07-24 17:20:50.0"
"19686","15287","30002","1","0","2010-07-28 07:32:14.0","2010-07-24 17:23:06.0"
"19907","15287","30003","1","0","2010-07-28 07:32:14.0","2010-07-24 18:06:20.0"
"20363","15395","3018","2","0","2010-07-25 21:35:40.0","2010-07-24 18:31:40.0"
"20834","15395","100","2","0","2010-07-24 19:16:51.0","2010-07-24 19:16:41.0"
"21143","15395","3060","9","0","2010-07-27 12:49:24.0","2010-07-24 20:20:20.0"
"22333","15395","102","2","0","2010-07-28 10:19:05.0","2010-07-24 21:06:39.0"
"22614","15395","21000","2","0","2010-07-25 14:54:13.0","2010-07-24 21:18:39.0"
"23166","15395","20017","1","0","2010-07-25 08:27:37.0","2010-07-25 08:27:37.0"
"23632","15395","2018","1","0","2010-07-25 08:49:51.0","2010-07-25 08:49:51.0"
"24132","15287","3019","1","0","2010-07-25 09:15:29.0","2010-07-25 09:15:29.0"
"24185","15287","1","2","0","2010-07-28 09:33:50.0","2010-07-25 09:19:29.0"
"24197","15287","3081","0","0","2010-07-25 09:19:29.0","2010-07-25 09:19:29.0"
"24756","15395","3033","11","0","2010-07-28 13:43:49.0","2010-07-25 09:50:40.0"
"25091","15395","3015","16","0","2010-07-28 09:37:45.0","2010-07-25 10:02:04.0"
